,,$\mathcal{B}$,$\mathcal{M}$
$\phi_1$ - StopToAvoidCollision,0,180,54
$\phi_1$ - StopToAvoidCollision,1,121,26
$\phi_1$ - StopToAvoidCollision,2,37,15
$\phi_1$ - StopToAvoidCollision,3,94,52
$\phi_1$ - StopToAvoidCollision,4,126,48
$\phi_1$ - StopToAvoidCollision,5,34,15
$\phi_1$ - StopToAvoidCollision,total,592,210
$\phi_2$ - StopForYellowRed,0,1056,447
$\phi_2$ - StopForYellowRed,1,608,88
$\phi_2$ - StopForYellowRed,2,631,51
$\phi_2$ - StopForYellowRed,3,652,63
$\phi_2$ - StopForYellowRed,4,389,285
$\phi_2$ - StopForYellowRed,5,1178,146
$\phi_2$ - StopForYellowRed,total,4514,1080
$\phi_3$ - NoStopForNoReason,0,19,3
$\phi_3$ - NoStopForNoReason,1,92,83
$\phi_3$ - NoStopForNoReason,2,83,6
$\phi_3$ - NoStopForNoReason,3,163,62
$\phi_3$ - NoStopForNoReason,4,404,109
$\phi_3$ - NoStopForNoReason,5,1215,1232
$\phi_3$ - NoStopForNoReason,total,1976,1495
$\phi_4$ - AccelerateForGreen,0,61,10
$\phi_4$ - AccelerateForGreen,1,76,35
$\phi_4$ - AccelerateForGreen,2,26,7
$\phi_4$ - AccelerateForGreen,3,235,81
$\phi_4$ - AccelerateForGreen,4,40,4
$\phi_4$ - AccelerateForGreen,5,93,31
$\phi_4$ - AccelerateForGreen,total,531,168
$\phi_5$ - NoSteerRightOutRoad,0,1503,0
$\phi_5$ - NoSteerRightOutRoad,1,1041,0
$\phi_5$ - NoSteerRightOutRoad,2,626,0
$\phi_5$ - NoSteerRightOutRoad,3,2468,0
$\phi_5$ - NoSteerRightOutRoad,4,232,0
$\phi_5$ - NoSteerRightOutRoad,5,365,0
$\phi_5$ - NoSteerRightOutRoad,total,6235,0
$\phi_6$ - NoSteerLeftOutRoad,0,0,0
$\phi_6$ - NoSteerLeftOutRoad,1,0,0
$\phi_6$ - NoSteerLeftOutRoad,2,0,0
$\phi_6$ - NoSteerLeftOutRoad,3,0,0
$\phi_6$ - NoSteerLeftOutRoad,4,0,0
$\phi_6$ - NoSteerLeftOutRoad,5,0,0
$\phi_6$ - NoSteerLeftOutRoad,total,0,0
